module,language,script,role
M02,PowerShell,code/powershell/M02_01_validate_fastq_and_run_fastp.ps1,Validate 12 FASTQ files and run fastp
M02,PowerShell,code/powershell/M02_02_summarize_gse274832_raw_qc.ps1,Summarize prespecified raw-QC screens
M02,PowerShell,code/powershell/M02_03_prepare_gencode50_reference.ps1,Prepare GENCODE v50 GRCh38p14 and Salmon index
M02,PowerShell,code/powershell/M02_04_quantify_gse274832_salmon.ps1,Quantify six samples with Salmon
M02,Python,code/python/M02_01_build_gse274832_expression_qc.py,Build gene matrices PCA correlation and marker tables
M02,R,code/R/M02_01_plot_gse274832_expression_qc.R,Plot expression QC figures
M02,Python,code/python/M02_02_finalize_gse274832_qc.py,Apply cohort QC gate and freeze sample inclusion
M03,R,code/R/M03_01_run_gse274832_deseq2.R,DESeq2 DOR-minus-NOR LOSO and official-table validation
M03,Python,code/python/M03_01_audit_gse274832_candidate_stability.py,Audit FDR candidate robustness
ENTRY,PowerShell,code/powershell/run_gse274832_from_fastq.ps1,Full FASTQ-to-results entry point
ENTRY,PowerShell,code/powershell/run_gse274832_from_salmon.ps1,Fast entry point from six quant.sf files
ENTRY,PowerShell,code/powershell/run_gse274832_m03_only.ps1,Statistical-analysis-only entry point
M02,PowerShell,code/powershell/M02_GSE193136_01_validate_fastq.ps1,GSE193136 expected-size paired-end and gzip integrity gate
M02,PowerShell,code/powershell/M02_GSE193136_02_run_fastp.ps1,GSE193136 raw read QC without writing cleaned FASTQ
M02,Python,code/python/M02_GSE193136_03_summarize_raw_qc.py,Summarize GSE193136 fastp metrics and group age context
M02,PowerShell,code/powershell/M02_GSE193136_04_run_salmon.ps1,Quantify twelve GSE193136 samples with frozen Salmon index
M02,Python,code/python/M02_GSE193136_05_build_expression_qc.py,Build GSE193136 gene matrices PCA correlation and tissue-marker QC
M02,R,code/R/M02_GSE193136_06_plot_expression_qc.R,Plot GSE193136 PCA correlation and marker QC
M02,Python,code/python/M02_GSE193136_07_finalize_qc.py,Apply GSE193136 M02 sample gate and freeze inclusion
M03,R,code/R/M03_GSE193136_01_run_age_adjusted_deseq2.R,Age-adjusted primary and unadjusted sensitivity DESeq2 with LOSO
M03,Python,code/python/M03_GSE193136_02_audit_candidate_stability.py,Audit GSE193136 FDR candidates across LOSO and age adjustment
ENTRY,PowerShell,code/powershell/run_gse193136_m02_m03.ps1,Full GSE193136 M02-to-M03 entry point
M02,Python,code/python/M02_GSE193136_04a_review_low_mapping_pilot.py,Review low transcriptome mapping with coverage and granulosa-marker evidence before full quantification
M02,PowerShell,code/powershell/M02_GSE232306_01_validate_fastq.ps1,GSE232306 expected-size paired-end and gzip integrity gate
M02,PowerShell,code/powershell/M02_GSE232306_02_run_fastp.ps1,GSE232306 raw read QC without writing cleaned FASTQ
M02,Python,code/python/M02_GSE232306_03_summarize_raw_qc.py,Summarize GSE232306 fastp metrics by phenotype
M02,PowerShell,code/powershell/M02_GSE232306_04_run_salmon.ps1,Quantify twelve GSE232306 samples with frozen Salmon index
M02,Python,code/python/M02_GSE232306_04a_review_mapping_qc.py,Review cohort-wide mapping coverage and granulosa markers
M02,Python,code/python/M02_GSE232306_05_build_expression_qc.py,Build GSE232306 gene matrices PCA correlation and tissue-marker QC
M02,R,code/R/M02_GSE232306_06_plot_expression_qc.R,Plot GSE232306 PCA correlation and marker QC
M02,Python,code/python/M02_GSE232306_07_finalize_qc.py,Apply GSE232306 M02 sample gate and freeze inclusion
